dp_Pa,U_alpha_1e-05,U_alpha_0.0001,U_alpha_0.001,U_alpha_0.003,U_alpha_0.01,U_alpha_0.03
1.454692787189e+02,1.424667124760e+03,1.038712128075e+03,4.358483821872e+02,2.592846030598e+02,1.440268099377e+02,8.426355617164e+01
1.491498100176e+02,1.424668575192e+03,1.038717748983e+03,4.358525311424e+02,2.592872183139e+02,1.440282935918e+02,8.426442950456e+01
1.529234627695e+02,1.424670062259e+03,1.038723511944e+03,4.358567850046e+02,2.592898996999e+02,1.440298147640e+02,8.426532492215e+01
1.567925930490e+02,1.424671586887e+03,1.038729420545e+03,4.358611464247e+02,2.592926488889e+02,1.440313744025e+02,8.426624298258e+01
1.607596165416e+02,1.424673150021e+03,1.038735478461e+03,4.358656181206e+02,2.592954675946e+02,1.440329734794e+02,8.426718425812e+01
1.648270100522e+02,1.424674752633e+03,1.038741689462e+03,4.358702028785e+02,2.592983575735e+02,1.440346129915e+02,8.426814933548e+01
1.689973130516e+02,1.424676395717e+03,1.038748057411e+03,4.358749035551e+02,2.593013206269e+02,1.440362939606e+02,8.426913881618e+01
1.732731292622e+02,1.424678080295e+03,1.038754586269e+03,4.358797230792e+02,2.593043586013e+02,1.440380174343e+02,8.427015331692e+01
1.776571282830e+02,1.424679807411e+03,1.038761280096e+03,4.358846644534e+02,2.593074733897e+02,1.440397844869e+02,8.427119346999e+01
1.821520472573e+02,1.424681578138e+03,1.038768143055e+03,4.358897307561e+02,2.593106669333e+02,1.440415962194e+02,8.427225992360e+01
1.867606925806e+02,1.424683393574e+03,1.038775179415e+03,4.358949251433e+02,2.593139412217e+02,1.440434537609e+02,8.427335334235e+01
1.914859416535e+02,1.424685254847e+03,1.038782393548e+03,4.359002508506e+02,2.593172982953e+02,1.440453582689e+02,8.427447440760e+01
1.963307446781e+02,1.424687163111e+03,1.038789789942e+03,4.359057111953e+02,2.593207402454e+02,1.440473109300e+02,8.427562381791e+01
2.012981264995e+02,1.424689119549e+03,1.038797373193e+03,4.359113095783e+02,2.593242692166e+02,1.440493129610e+02,8.427680228945e+01
2.063911884950e+02,1.424691125375e+03,1.038805148014e+03,4.359170494863e+02,2.593278874072e+02,1.440513656091e+02,8.427801055649e+01
2.116131105099e+02,1.424693181834e+03,1.038813119238e+03,4.359229344937e+02,2.593315970712e+02,1.440534701531e+02,8.427924937179e+01
2.169671528431e+02,1.424695290199e+03,1.038821291818e+03,4.359289682655e+02,2.593354005192e+02,1.440556279042e+02,8.428051950713e+01
2.224566582828e+02,1.424697451779e+03,1.038829670832e+03,4.359351545585e+02,2.593393001203e+02,1.440578402065e+02,8.428182175373e+01
2.280850541931e+02,1.424699667912e+03,1.038838261486e+03,4.359414972247e+02,2.593432983034e+02,1.440601084379e+02,8.428315692281e+01
2.338558546543e+02,1.424701939972e+03,1.038847069115e+03,4.359480002130e+02,2.593473975583e+02,1.440624340113e+02,8.428452584600e+01
2.397726626568e+02,1.424704269366e+03,1.038856099191e+03,4.359546675717e+02,2.593516004380e+02,1.440648183751e+02,8.428592937594e+01
2.458391723504e+02,1.424706657538e+03,1.038865357321e+03,4.359615034514e+02,2.593559095595e+02,1.440672630143e+02,8.428736838676e+01
2.520591713513e+02,1.424709105967e+03,1.038874849253e+03,4.359685121069e+02,2.593603276060e+02,1.440697694512e+02,8.428884377463e+01
2.584365431060e+02,1.424711616168e+03,1.038884580882e+03,4.359756979007e+02,2.593648573284e+02,1.440723392466e+02,8.429035645832e+01
2.649752693168e+02,1.424714189696e+03,1.038894558247e+03,4.359830653048e+02,2.593695015467e+02,1.440749740007e+02,8.429190737975e+01
2.716794324274e+02,1.424716828144e+03,1.038904787542e+03,4.359906189041e+02,2.593742631520e+02,1.440776753538e+02,8.429349750461e+01
2.785532181714e+02,1.424719533143e+03,1.038915275115e+03,4.359983633988e+02,2.593791451086e+02,1.440804449878e+02,8.429512782291e+01
2.856009181866e+02,1.424722306368e+03,1.038926027472e+03,4.360063036076e+02,2.593841504550e+02,1.440832846270e+02,8.429679934962e+01
2.928269326935e+02,1.424725149533e+03,1.038937051285e+03,4.360144444705e+02,2.593892823066e+02,1.440861960388e+02,8.429851312529e+01
3.002357732430e+02,1.424728064397e+03,1.038948353392e+03,4.360227910519e+02,2.593945438572e+02,1.440891810355e+02,8.430027021669e+01
3.078320655333e+02,1.424731052762e+03,1.038959940802e+03,4.360313485437e+02,2.593999383811e+02,1.440922414750e+02,8.430207171748e+01
