t_over_theta,r
6.520326016301e-01,4.614449323479e-01
6.540327016351e-01,4.693398969097e-01
6.560328016401e-01,4.779571113626e-01
6.580329016451e-01,4.871112443611e-01
6.600330016501e-01,4.966372262314e-01
6.620331016551e-01,5.063922943058e-01
6.640332016601e-01,5.162557824203e-01
6.660333016651e-01,5.261275406532e-01
6.680334016701e-01,5.359256638236e-01
6.700335016751e-01,5.455839905937e-01
6.720336016801e-01,5.550496557467e-01
6.740337016851e-01,5.642808477457e-01
6.760338016901e-01,5.732448380336e-01
6.780339016951e-01,5.819162961167e-01
6.800340017001e-01,5.902758762978e-01
6.820341017051e-01,5.983090473169e-01
6.840342017101e-01,6.060051326383e-01
6.860343017151e-01,6.133565283838e-01
6.880344017201e-01,6.203580684802e-01
6.900345017251e-01,6.270065117154e-01
6.920346017301e-01,6.333001274971e-01
6.940347017351e-01,6.392383623094e-01
6.960348017401e-01,6.448215709693e-01
6.980349017451e-01,6.500508008431e-01
7.000350017501e-01,6.549276183993e-01
7.020351017551e-01,6.594539699691e-01
7.040352017601e-01,6.636320703974e-01
7.060353017651e-01,6.674643139681e-01
7.080354017701e-01,6.709532036064e-01
7.100355017751e-01,6.741012946783e-01
7.120356017801e-01,6.769111509821e-01
7.140357017851e-01,6.793853104623e-01
7.160358017901e-01,6.815262591038e-01
7.180359017951e-01,6.833364114541e-01
7.200360018001e-01,6.848180968803e-01
7.220361018051e-01,6.859735505325e-01
7.240362018101e-01,6.868049084917e-01
7.260363018151e-01,6.873142065147e-01
7.280364018201e-01,6.875033821417e-01
7.300365018251e-01,6.873742798620e-01
7.320366018301e-01,6.869286592889e-01
7.340367018351e-01,6.861682063097e-01
7.360368018401e-01,6.850945473234e-01
7.380369018451e-01,6.837092667630e-01
7.400370018501e-01,6.820139281665e-01
7.420371018551e-01,6.800100992665e-01
7.440372018601e-01,6.776993814727e-01
7.460373018651e-01,6.750834445112e-01
7.480374018701e-01,6.721640669535e-01
7.500375018751e-01,6.689431834650e-01
7.520376018801e-01,6.654229401000e-01
7.540377018851e-01,6.616057586186e-01
7.560378018901e-01,6.574944115817e-01
7.580379018951e-01,6.530921100790e-01
7.600380019001e-01,6.484026058001e-01
7.620381019051e-01,6.434303103816e-01
7.640382019101e-01,6.381804340657e-01
7.660383019151e-01,6.326591473254e-01
7.680384019201e-01,6.268737687723e-01
7.700385019251e-01,6.208329827557e-01
7.720386019301e-01,6.145470913914e-01
7.740387019351e-01,6.080283039446e-01
7.760388019401e-01,6.012910689596e-01
7.780389019451e-01,5.943524515161e-01
7.800390019501e-01,5.872325582054e-01
7.820391019551e-01,5.799550101334e-01
7.840392019601e-01,5.725474608019e-01
7.860393019651e-01,5.650421508325e-01
7.880394019701e-01,5.574764843800e-01
7.900395019751e-01,5.498936019924e-01
7.920396019801e-01,5.423429117087e-01
7.940397019851e-01,5.348805238299e-01
