tau_over_theta,peak_alpha_0.001,peak_alpha_0.01,peak_alpha_0.03
8.759411243081e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
8.984868094623e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
9.216127937997e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
9.453340135329e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
9.696657893146e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
9.946238361329e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.020224273461e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.046483635669e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.073418882701e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.101047411031e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.129387064896e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.158456147823e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.188273434452e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.218858182658e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.250230145991e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.282409586435e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.315417287492e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.349274567607e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.384003293937e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.419625896475e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.456165382532e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.493645351603e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.532090010604e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.571524189510e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.611973357388e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.653463638851e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.696021830927e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.739675420367e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.784452601401e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.830382293942e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.877494162270e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.925818634185e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.975386920666e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.026231036024e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.078383818580e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.131878951874e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.186750986423e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.243035362030e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.300768430679e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.359987480009e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.420730757400e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.483037494674e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.546947933432e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.612503351048e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.679746087326e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.748719571846e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.819468352014e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.892038121833e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
2.966475751417e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.042829317260e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.121148133286e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.201482782704e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.283885150674e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.368408457818e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.455107294592e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.544037656549e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.635256980499e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.728824181606e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.824799691444e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.923245497022e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.024225180820e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.127803961857e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.234048737812e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.343028128231e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.454812518845e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.569474107031e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.687086948440e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.807727004829e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.931472193118e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.058402435719e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.188599712150e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.322148111984e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.459133889164e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.599645517701e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.743773748827e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.891611669600e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.043254763031e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.198800969748e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.358350751255e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.522007154819e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.689875880016e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.862065347008e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.038686766562e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.219854211877e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.405684692262e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.596298228708e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.791817931401e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.992370079239e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
8.198084201389e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
8.409093160944e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
8.625533240736e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
8.847544231355e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
9.075269521437e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
9.308856190268e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
9.548455102782e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
9.794221006998e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.004631263397e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.030489280028e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.057012851325e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.084219107874e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.112125621184e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.140750415032e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.170111977109e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.200229270953e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.231121748204e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.262809361162e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.295312575678e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.328652384367e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.362850320171e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.397928470264e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.433909490316e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.470816619130e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.508673693646e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.547505164339e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.587336111010e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.628192258986e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.670099995731e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.713086387892e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.757179198780e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.802406906300e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.848798721345e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.896384606661e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.945195296200e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.995262314969e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
