alpha,d_c_R2,d_c_R5,d_c_R10
6.085285189706e-05,1.069763377569e-01,1.301796311746e-01,1.502687243422e-01
6.251534353690e-05,1.069673901274e-01,1.301501982516e-01,1.501988441967e-01
6.422325422229e-05,1.069582003588e-01,1.301199819238e-01,1.501271562157e-01
6.597782479540e-05,1.069487619629e-01,1.300889619097e-01,1.500536163639e-01
6.778032999799e-05,1.069390682810e-01,1.300571174340e-01,1.499781796792e-01
6.963207939764e-05,1.069291124797e-01,1.300244272166e-01,1.499008002608e-01
7.153441833911e-05,1.069188875468e-01,1.299908694629e-01,1.498214312578e-01
7.348872892180e-05,1.069083862867e-01,1.299564218525e-01,1.497400248583e-01
7.549643100390e-05,1.068976013157e-01,1.299210615290e-01,1.496565322789e-01
7.755898323389e-05,1.068865250573e-01,1.298847650890e-01,1.495709037542e-01
7.967788411037e-05,1.068751497377e-01,1.298475085713e-01,1.494830885272e-01
8.185467307069e-05,1.068634673808e-01,1.298092674456e-01,1.493930348402e-01
8.409093160944e-05,1.068514698031e-01,1.297700166019e-01,1.493006899259e-01
8.638828442740e-05,1.068391486085e-01,1.297297303389e-01,1.492059999992e-01
8.874840061199e-05,1.068264951837e-01,1.296883823529e-01,1.491089102499e-01
9.117299484985e-05,1.068135006922e-01,1.296459457267e-01,1.490093648360e-01
9.366382867262e-05,1.068001560692e-01,1.296023929181e-01,1.489073068774e-01
9.622271173675e-05,1.067864520160e-01,1.295576957481e-01,1.488026784503e-01
9.885150313827e-05,1.067723789945e-01,1.295118253904e-01,1.486954205837e-01
1.015521127635e-04,1.067579272213e-01,1.294647523590e-01,1.485854732549e-01
1.043265026764e-04,1.067430866616e-01,1.294164464973e-01,1.484727753871e-01
1.071766885446e-04,1.067278470237e-01,1.293668769667e-01,1.483572648484e-01
1.101047411031e-04,1.067121977526e-01,1.293160122346e-01,1.482388784504e-01
1.131127876594e-04,1.066961280237e-01,1.292638200638e-01,1.481175519495e-01
1.162030136386e-04,1.066796267366e-01,1.292102675006e-01,1.479932200482e-01
1.193776641714e-04,1.066626825086e-01,1.291553208637e-01,1.478658163987e-01
1.226390457252e-04,1.066452836682e-01,1.290989457331e-01,1.477352736068e-01
1.259895277795e-04,1.066274182480e-01,1.290411069389e-01,1.476015232384e-01
1.294315445480e-04,1.066090739784e-01,1.289817685507e-01,1.474644958260e-01
1.329675967466e-04,1.065902382801e-01,1.289208938664e-01,1.473241208782e-01
1.366002534105e-04,1.065708982577e-01,1.288584454018e-01,1.471803268902e-01
1.403321537605e-04,1.065510406918e-01,1.287943848801e-01,1.470330413557e-01
1.441660091207e-04,1.065306520322e-01,1.287286732222e-01,1.468821907812e-01
1.481046048881e-04,1.065097183900e-01,1.286612705358e-01,1.467277007017e-01
1.521508025563e-04,1.064882255305e-01,1.285921361070e-01,1.465694956988e-01
1.563075417946e-04,1.064661588652e-01,1.285212283898e-01,1.464074994204e-01
1.605778425837e-04,1.064435034443e-01,1.284485049980e-01,1.462416346028e-01
1.649648074098e-04,1.064202439483e-01,1.283739226960e-01,1.460718230949e-01
1.694716235184e-04,1.063963646806e-01,1.282974373910e-01,1.458979858846e-01
1.741015652304e-04,1.063718495588e-01,1.282190041251e-01,1.457200431278e-01
1.788579963204e-04,1.063466821067e-01,1.281385770679e-01,1.455379141795e-01
1.837443724611e-04,1.063208454461e-01,1.280561095100e-01,1.453515176280e-01
1.887642437335e-04,1.062943222879e-01,1.279715538566e-01,1.451607713309e-01
1.939212572066e-04,1.062670949240e-01,1.278848616221e-01,1.449655924548e-01
1.992191595866e-04,1.062391452183e-01,1.277959834251e-01,1.447658975166e-01
