delta,tanh_delta
3.052216843235e-01,2.960838676557e-01
3.106759909834e-01,3.010519465640e-01
3.162277660168e-01,3.060920758815e-01
3.218787511821e-01,3.112047090620e-01
3.276307193627e-01,3.163902689489e-01
3.334854751235e-01,3.216491456844e-01
3.394448552769e-01,3.269816945414e-01
3.455107294592e-01,3.323882336788e-01
3.516850007170e-01,3.378690418207e-01
3.579696061042e-01,3.434243558592e-01
3.643665172901e-01,3.490543683804e-01
3.708777411774e-01,3.547592251179e-01
3.775053205324e-01,3.605390223312e-01
3.842513346254e-01,3.663938041138e-01
3.911178998833e-01,3.723235596322e-01
3.981071705535e-01,3.783282202981e-01
4.052213393797e-01,3.844076568779e-01
4.124626382901e-01,3.905616765436e-01
4.198333390972e-01,3.967900198682e-01
4.273357542109e-01,4.030923577719e-01
4.349722373638e-01,4.094682884250e-01
4.427451843494e-01,4.159173341131e-01
4.506570337745e-01,4.224389380723e-01
4.587102678234e-01,4.290324613030e-01
4.669074130371e-01,4.356971793703e-01
4.752510411058e-01,4.424322792016e-01
4.837437696758e-01,4.492368558910e-01
4.923882631707e-01,4.561099095241e-01
5.011872336273e-01,4.630503420328e-01
5.101434415464e-01,4.700569540964e-01
5.192596967591e-01,4.771284421023e-01
5.285388593079e-01,4.842633951815e-01
5.379838403444e-01,4.914602923363e-01
5.475976030422e-01,4.987174996766e-01
5.573831635270e-01,5.060332677855e-01
5.673435918226e-01,5.134057292302e-01
5.774820128138e-01,5.208328962424e-01
5.878016072275e-01,5.283126585867e-01
5.983056126297e-01,5.358427816405e-01
6.089973244419e-01,5.434209047084e-01
6.198800969748e-01,5.510445395933e-01
6.309573444802e-01,5.587110694508e-01
6.422325422229e-01,5.664177479484e-01
6.537092275706e-01,5.741616987578e-01
6.653910011034e-01,5.819399154030e-01
6.772815277441e-01,5.897492614901e-01
6.893845379074e-01,5.975864713447e-01
7.017038286704e-01,6.054481510800e-01
7.142432649640e-01,6.133307801217e-01
7.270067807854e-01,6.212307132108e-01
7.399983804321e-01,6.291441829084e-01
7.532221397586e-01,6.370673026227e-01
7.666822074546e-01,6.449960701773e-01
7.803828063470e-01,6.529263719388e-01
7.943282347243e-01,6.608539875196e-01
8.085228676856e-01,6.687745950668e-01
8.229711585129e-01,6.766837771503e-01
8.376776400683e-01,6.845770272541e-01
8.526469262159e-01,6.924497568770e-01
8.678837132696e-01,7.002973032417e-01
8.833927814664e-01,7.081149376081e-01
8.991789964660e-01,7.158978741837e-01
9.152473108774e-01,7.236412796183e-01
9.316027658126e-01,7.313402830656e-01
9.482504924681e-01,7.389899867905e-01
9.651957137351e-01,7.465854772946e-01
9.824437458374e-01,7.541218369289e-01
1.000000000000e+00,7.615941559558e-01
1.017869984146e+00,7.689975450192e-01
1.036059304626e+00,7.763271479755e-01
1.054573667974e+00,7.835781550324e-01
1.073418882701e+00,7.907458161410e-01
1.092600861117e+00,7.978254545779e-01
1.112125621184e+00,8.048124806522e-01
1.131999288403e+00,8.117024054693e-01
1.152228097740e+00,8.184908546775e-01
1.172818395579e+00,8.251735821221e-01
1.193776641714e+00,8.317464833292e-01
1.215109411376e+00,8.382056087393e-01
1.236823397293e+00,8.445471766093e-01
1.258925411794e+00,8.507675855030e-01
1.281422388944e+00,8.568634262868e-01
1.304321386719e+00,8.628314935531e-01
1.327629589221e+00,8.686687963918e-01
1.351354308932e+00,8.743725684346e-01
1.375502989009e+00,8.799402771008e-01
1.400083205615e+00,8.853696319758e-01
1.425102670303e+00,8.906585922608e-01
1.450569232428e+00,8.958053732342e-01
1.476490881614e+00,9.008084516766e-01
1.502875750261e+00,9.056665702122e-01
1.529732116091e+00,9.103787405330e-01
1.557068404754e+00,9.149442454748e-01
1.584893192461e+00,9.193626399254e-01
1.613215208684e+00,9.236337505534e-01
1.642043338887e+00,9.277576743538e-01
1.671386627320e+00,9.317347760169e-01
1.701254279853e+00,9.355656841339e-01
1.731655666862e+00,9.392512862641e-01
1.762600326175e+00,9.427927228936e-01
1.794097966060e+00,9.461913803282e-01
1.826158468270e+00,9.494488825658e-01
1.858791891147e+00,9.525670822052e-01
1.892008472772e+00,9.555480504539e-01
1.925818634185e+00,9.583940663017e-01
1.960232982646e+00,9.611076049357e-01
1.995262314969e+00,9.636913254744e-01
