t_over_theta,r
1.030051502575e+00,8.696765127094e-01
1.040052002600e+00,8.634549191547e-01
1.050052502625e+00,8.568999561277e-01
1.060053002650e+00,8.500075547454e-01
1.070053502675e+00,8.427731850228e-01
1.080054002700e+00,8.351918388081e-01
1.090054502725e+00,8.272580118356e-01
1.100055002750e+00,8.189656854428e-01
1.110055502775e+00,8.103083082495e-01
1.120056002800e+00,8.012787787732e-01
1.130056502825e+00,7.918694299854e-01
1.140057002850e+00,7.820720168315e-01
1.150057502875e+00,7.718777097574e-01
1.160058002900e+00,7.612770960601e-01
1.170058502925e+00,7.502601936544e-01
1.180059002950e+00,7.388164825546e-01
1.190059502975e+00,7.269349618081e-01
1.200060003000e+00,7.146042426987e-01
1.210060503025e+00,7.018126929240e-01
1.220061003050e+00,6.885486531784e-01
1.230061503075e+00,6.748007559385e-01
1.240062003100e+00,6.605583874687e-01
1.250062503125e+00,6.458123542356e-01
1.260063003150e+00,6.305558372738e-01
1.270063503175e+00,6.147857559584e-01
1.280064003200e+00,5.985047143784e-01
1.290064503225e+00,5.817237741375e-01
1.300065003250e+00,5.644664011362e-01
1.310065503275e+00,5.467740630806e-01
1.320066003300e+00,5.287141181515e-01
1.330066503325e+00,5.103907970947e-01
1.340067003350e+00,4.919601518119e-01
1.350067503375e+00,4.736496008908e-01
1.360068003400e+00,4.557816625799e-01
1.370068503425e+00,4.387987810622e-01
1.380069003450e+00,4.232807703408e-01
1.390069503475e+00,4.099382412698e-01
1.400070003500e+00,3.995584745811e-01
1.410070503525e+00,3.928861988774e-01
1.420071003550e+00,3.904544239775e-01
1.430071503575e+00,3.924312125733e-01
1.440072003600e+00,3.985679774656e-01
1.450072503625e+00,4.082819283124e-01
1.460073003650e+00,4.208201767213e-01
1.470073503675e+00,4.354192333292e-01
1.480074003700e+00,4.514070517403e-01
1.490074503725e+00,4.682434753352e-01
1.500075003750e+00,4.855197739080e-01
1.510075503775e+00,5.029392201313e-01
1.520076003800e+00,5.202928877132e-01
1.530076503825e+00,5.374374394207e-01
1.540077003850e+00,5.542771464066e-01
1.550077503875e+00,5.707502348438e-01
1.560078003900e+00,5.868188758761e-01
1.570078503925e+00,6.024619869336e-01
1.580079003950e+00,6.176701095326e-01
1.590079503975e+00,6.324417829294e-01
1.600080004000e+00,6.467809834139e-01
1.610080504025e+00,6.606953173980e-01
1.620081004050e+00,6.741947474708e-01
1.630081504075e+00,6.872906949935e-01
1.640082004100e+00,6.999954094752e-01
1.650082504125e+00,7.123215273645e-01
1.660083004150e+00,7.242817654795e-01
1.670083504175e+00,7.358887106532e-01
1.680084004200e+00,7.471546778970e-01
1.690084504225e+00,7.580916176097e-01
1.700085004250e+00,7.687110577681e-01
1.710085504275e+00,7.790240709471e-01
1.720086004300e+00,7.890412590060e-01
1.730086504325e+00,7.987727501071e-01
1.740087004350e+00,8.082282042802e-01
1.750087504375e+00,8.174168248131e-01
1.760088004400e+00,8.263473734432e-01
1.770088504425e+00,8.350281879347e-01
1.780089004450e+00,8.434672009881e-01
1.790089504475e+00,8.516719597674e-01
1.800090004500e+00,8.596496455000e-01
1.810090504525e+00,8.674070928551e-01
1.820091004550e+00,8.749508086620e-01
1.830091504575e+00,8.822869901064e-01
1.840092004600e+00,8.894215420255e-01
1.850092504625e+00,8.963600933985e-01
1.860093004650e+00,9.031080129745e-01
1.870093504675e+00,9.096704239987e-01
1.880094004700e+00,9.160522181242e-01
1.890094504725e+00,9.222580684669e-01
1.900095004750e+00,9.282924418727e-01
1.910095504775e+00,9.341596104255e-01
1.920096004800e+00,9.398636622322e-01
1.930096504825e+00,9.454085115309e-01
1.940097004850e+00,9.507979081578e-01
1.950097504875e+00,9.560354464147e-01
1.960098004900e+00,9.611245733735e-01
1.970098504925e+00,9.660685966590e-01
1.980099004950e+00,9.708706917368e-01
1.990099504975e+00,9.755339087471e-01
2.000100005000e+00,9.800611789108e-01
2.010100505025e+00,9.844553205373e-01
2.020101005050e+00,9.887190446651e-01
2.030101505075e+00,9.928549603535e-01
2.040102005100e+00,9.968655796560e-01
2.050102505125e+00,1.000753322293e+00
2.060103005150e+00,1.004520520045e+00
2.070103505175e+00,1.008169420889e+00
2.080104005200e+00,1.011702192888e+00
2.090104505225e+00,1.015120927858e+00
2.100105005250e+00,1.018427644821e+00
2.110105505275e+00,1.021624293265e+00
2.120106005300e+00,1.024712756218e+00
2.130106505325e+00,1.027694853150e+00
2.140107005350e+00,1.030572342713e+00
2.150107505375e+00,1.033346925335e+00
2.160108005400e+00,1.036020245671e+00
2.170108505425e+00,1.038593894923e+00
2.180109005450e+00,1.041069413034e+00
2.190109505475e+00,1.043448290773e+00
2.200110005500e+00,1.045731971707e+00
2.210110505525e+00,1.047921854069e+00
2.220111005550e+00,1.050019292541e+00
2.230111505575e+00,1.052025599934e+00
2.240112005600e+00,1.053942048796e+00
2.250112505625e+00,1.055769872932e+00
2.260113005650e+00,1.057510268857e+00
2.270113505675e+00,1.059164397174e+00
2.280114005700e+00,1.060733383887e+00
2.290114505725e+00,1.062218321654e+00
2.300115005750e+00,1.063620270984e+00
2.310115505775e+00,1.064940261369e+00
2.320116005800e+00,1.066179292375e+00
2.330116505825e+00,1.067338334681e+00
2.340117005850e+00,1.068418331070e+00
2.350117505875e+00,1.069420197374e+00
2.360118005900e+00,1.070344823388e+00
2.370118505925e+00,1.071193073732e+00
2.380119005950e+00,1.071965788688e+00
2.390119505975e+00,1.072663784994e+00
2.400120006000e+00,1.073287856611e+00
2.410120506025e+00,1.073838775456e+00
2.420121006050e+00,1.074317292107e+00
2.430121506075e+00,1.074724136480e+00
2.440122006100e+00,1.075060018479e+00
2.450122506125e+00,1.075325628627e+00
2.460123006150e+00,1.075521638665e+00
2.470123506175e+00,1.075648702134e+00
2.480124006200e+00,1.075707454940e+00
2.490124506225e+00,1.075698515890e+00
2.500125006250e+00,1.075622487221e+00
2.510125506275e+00,1.075479955101e+00
2.520126006300e+00,1.075271490122e+00
2.530126506325e+00,1.074997647771e+00
2.540127006350e+00,1.074658968896e+00
2.550127506375e+00,1.074255980148e+00
2.560128006400e+00,1.073789194415e+00
2.570128506425e+00,1.073259111250e+00
2.580129006450e+00,1.072666217277e+00
2.590129506475e+00,1.072010986595e+00
2.600130006500e+00,1.071293881173e+00
2.610130506525e+00,1.070515351230e+00
2.620131006550e+00,1.069675835614e+00
2.630131506575e+00,1.068775762170e+00
2.640132006600e+00,1.067815548105e+00
2.650132506625e+00,1.066795600342e+00
2.660133006650e+00,1.065716315875e+00
2.670133506675e+00,1.064578082118e+00
2.680134006700e+00,1.063381277246e+00
2.690134506725e+00,1.062126270541e+00
2.700135006750e+00,1.060813422727e+00
2.710135506775e+00,1.059443086315e+00
2.720136006800e+00,1.058015605932e+00
2.730136506825e+00,1.056531318667e+00
2.740137006850e+00,1.054990554401e+00
2.750137506875e+00,1.053393636152e+00
2.760138006900e+00,1.051740880414e+00
2.770138506925e+00,1.050032597505e+00
2.780139006950e+00,1.048269091907e+00
2.790139506975e+00,1.046450662629e+00
2.800140007000e+00,1.044577603557e+00
2.810140507025e+00,1.042650203821e+00
2.820141007050e+00,1.040668748167e+00
2.830141507075e+00,1.038633517333e+00
2.840142007100e+00,1.036544788441e+00
2.850142507125e+00,1.034402835391e+00
2.860143007150e+00,1.032207929273e+00
2.870143507175e+00,1.029960338786e+00
2.880144007200e+00,1.027660330670e+00
2.890144507225e+00,1.025308170160e+00
2.900145007250e+00,1.022904121445e+00
2.910145507275e+00,1.020448448150e+00
2.920146007300e+00,1.017941413834e+00
2.930146507325e+00,1.015383282513e+00
2.940147007350e+00,1.012774319195e+00
2.950147507375e+00,1.010114790443e+00
2.960148007400e+00,1.007404964965e+00
2.970148507425e+00,1.004645114225e+00
2.980149007450e+00,1.001835513086e+00
2.990149507475e+00,9.989764404795e-01
3.000150007500e+00,9.960681801083e-01
3.010150507525e+00,9.931110211872e-01
3.020151007550e+00,9.901052592146e-01
3.030151507575e+00,9.870511967866e-01
3.040152007600e+00,9.839491444509e-01
3.050152507625e+00,9.807994216062e-01
3.060153007650e+00,9.776023574475e-01
3.070153507675e+00,9.743582919614e-01
3.080154007700e+00,9.710675769754e-01
3.090154507725e+00,9.677305772624e-01
3.100155007750e+00,9.643476717055e-01
3.110155507775e+00,9.609192545262e-01
3.120156007800e+00,9.574457365799e-01
3.130156507825e+00,9.539275467221e-01
3.140157007850e+00,9.503651332502e-01
3.150157507875e+00,9.467589654251e-01
3.160158007900e+00,9.431095350768e-01
3.170158507925e+00,9.394173582986e-01
3.180159007950e+00,9.356829772359e-01
3.190159507975e+00,9.319069619726e-01
3.200160008000e+00,9.280899125227e-01
3.210160508025e+00,9.242324609309e-01
3.220161008050e+00,9.203352734877e-01
3.230161508075e+00,9.163990530660e-01
3.240162008100e+00,9.124245415837e-01
3.250162508125e+00,9.084125225978e-01
3.260163008150e+00,9.043638240375e-01
3.270163508175e+00,9.002793210805e-01
3.280164008200e+00,8.961599391784e-01
3.290164508225e+00,8.920066572382e-01
3.300165008250e+00,8.878205109631e-01
3.310165508275e+00,8.836025963589e-01
3.320166008300e+00,8.793540734107e-01
3.330166508325e+00,8.750761699330e-01
3.340167008350e+00,8.707701855971e-01
3.350167508375e+00,8.664374961381e-01
3.360168008400e+00,8.620795577428e-01
3.370168508425e+00,8.576979116183e-01
3.380169008450e+00,8.532941887399e-01
3.390169508475e+00,8.488701147750e-01
3.400170008500e+00,8.444275151776e-01
3.410170508525e+00,8.399683204442e-01
3.420171008550e+00,8.354945715226e-01
3.430171508575e+00,8.310084253560e-01
3.440172008600e+00,8.265121605477e-01
