alpha,p_star_Pa,R_star_W0.25,R_star_W1,R_star_W4
1.701254279853e-02,3.991421919136e+07,7.982776962392e-01,1.267186854773e+00,2.011533746307e+00
1.747732315464e-02,4.102406740859e+07,7.791359029333e-01,1.236801151943e+00,1.963299449669e+00
1.795480124688e-02,4.216533050433e+07,7.604442562309e-01,1.207130012304e+00,1.916199451394e+00
1.844532397568e-02,4.333892900517e+07,7.421921422842e-01,1.178156587424e+00,1.870207006261e+00
1.894924771874e-02,4.454581218119e+07,7.243691973876e-01,1.149864425946e+00,1.825295999368e+00
1.946693858994e-02,4.578695904296e+07,7.069653020809e-01,1.122237464228e+00,1.781440931274e+00
1.999877270535e-02,4.706337937866e+07,6.899705753918e-01,1.095260017204e+00,1.738616903488e+00
2.054513645649e-02,4.837611483326e+07,6.733753692137e-01,1.068916769459e+00,1.696799604306e+00
2.110642679102e-02,4.972624003160e+07,6.571702628166e-01,1.043192766517e+00,1.655965294975e+00
2.168305150117e-02,5.111486374768e+07,6.413460574870e-01,1.018073406331e+00,1.616090796190e+00
2.227542952000e-02,5.254313012229e+07,6.258937712937e-01,9.935444309719e-01,1.577153474902e+00
2.288399122576e-02,5.401221993139e+07,6.108046339777e-01,9.695919185232e-01,1.539131231444e+00
2.350917875457e-02,5.552335190779e+07,5.960700819622e-01,9.462022751536e-01,1.502002486954e+00
2.415144632167e-02,5.707778411866e+07,5.816817534802e-01,9.233622273852e-01,1.465746171099e+00
2.481126055138e-02,5.867681540188e+07,5.676314838166e-01,9.010588145407e-01,1.430341710087e+00
2.548910081613e-02,6.032178686397e+07,5.539113006629e-01,8.792793813693e-01,1.395769014960e+00
2.618545958474e-02,6.201408344299e+07,5.405134195813e-01,8.580115708462e-01,1.362008470162e+00
2.690084278024e-02,6.375513553950e+07,5.274302395752e-01,8.372433171416e-01,1.329040922384e+00
2.763577014736e-02,6.554642071933e+07,5.146543387649e-01,8.169628387554e-01,1.296847669659e+00
2.839077563023e-02,6.738946549184e+07,5.021784701640e-01,7.971586318142e-01,1.265410450727e+00
2.916640776024e-02,6.928584716755e+07,4.899955575568e-01,7.778194635255e-01,1.234711434642e+00
2.996323005457e-02,7.123719579955e+07,4.780986914714e-01,7.589343657864e-01,1.204733210624e+00
3.078182142565e-02,7.324519621302e+07,4.664811252488e-01,7.404926289432e-01,1.175458778159e+00
3.162277660168e-02,7.531159012776e+07,4.551362712037e-01,7.224837956976e-01,1.146871537320e+00
