alpha,p_star_Pa,R_star_W0.25,R_star_W1,R_star_W4
2.078383818580e-03,4.803255690503e+06,5.199387254458e+00,8.253512797317e+00,1.310163489689e+01
2.135164981911e-03,4.934760767919e+06,5.076580562136e+00,8.058569324735e+00,1.279218142344e+01
2.193497398905e-03,5.069874131946e+06,4.956667663305e+00,7.868219462987e+00,1.249001985266e+01
2.253423449600e-03,5.208695226605e+06,4.839580347897e+00,7.682354935336e+00,1.219497830594e+01
2.314986671851e-03,5.351326260928e+06,4.725252013563e+00,7.500870017145e+00,1.190688895589e+01
2.378231792964e-03,5.497872287190e+06,4.613617627785e+00,7.323661475725e+00,1.162558793082e+01
2.443204762186e-03,5.648441281430e+06,4.504613690866e+00,7.150628511591e+00,1.135091522153e+01
2.509952784094e-03,5.803144226324e+06,4.398178199808e+00,6.981672701120e+00,1.108271459025e+01
2.578524352884e-03,5.962095196498e+06,4.294250613033e+00,6.816697940543e+00,1.082083348177e+01
2.648969287611e-03,6.125411446347e+06,4.192771815932e+00,6.655610391273e+00,1.056512293660e+01
2.721338768375e-03,6.293213500442e+06,4.093684087237e+00,6.498318426505e+00,1.031543750626e+01
2.795685373515e-03,6.465625246601e+06,3.996931066177e+00,6.344732579093e+00,1.007163517051e+01
2.872063117798e-03,6.642774031718e+06,3.902457720409e+00,6.194765490638e+00,9.833577256535e+00
2.950527491670e-03,6.824790760427e+06,3.810210314708e+00,6.048331861788e+00,9.601128360056e+00
3.031135501568e-03,7.011809996701e+06,3.720136380397e+00,5.905348403707e+00,9.374156268283e+00
3.113945711336e-03,7.203970068467e+06,3.632184685485e+00,5.765733790681e+00,9.152531884696e+00
3.199018284775e-03,7.401413175344e+06,3.546305205527e+00,5.629408613853e+00,8.936129155589e+00
3.286415029354e-03,7.604285499601e+06,3.462449095156e+00,5.496295336037e+00,8.724824998353e+00
3.376199441111e-03,7.812737320438e+06,3.380568660296e+00,5.366318247605e+00,8.518499231444e+00
3.468436750790e-03,8.026923131696e+06,3.300617331021e+00,5.239403423407e+00,8.317034506003e+00
3.563193971229e-03,8.247001763109e+06,3.222549635062e+00,5.115478680717e+00,8.120316239091e+00
3.660539946045e-03,8.473136505213e+06,3.146321171932e+00,4.994473538155e+00,7.928232548494e+00
3.760545399658e-03,8.705495238031e+06,3.071888587667e+00,4.876319175591e+00,7.740674189066e+00
3.863282988666e-03,8.944250563661e+06,2.999209550155e+00,4.760948394990e+00,7.557534490573e+00
3.968827354637e-03,9.189579942887e+06,2.928242725056e+00,4.648295582172e+00,7.378709296998e+00
4.077255178336e-03,9.441665835959e+06,2.858947752276e+00,4.538296669485e+00,7.204096907285e+00
4.188645235435e-03,9.700695847665e+06,2.791285223013e+00,4.430889099354e+00,7.033598017469e+00
4.303078453749e-03,9.966862876856e+06,2.725216657327e+00,4.326011788683e+00,6.867115664182e+00
4.420637972029e-03,1.024036527055e+07,2.660704482251e+00,4.223605094102e+00,6.704555169476e+00
4.541409200363e-03,1.052140698281e+07,2.597712010411e+00,4.123610778037e+00,6.545824086963e+00
4.665479882234e-03,1.081019773848e+07,2.536203419152e+00,4.025971975567e+00,6.390832149210e+00
4.792940158265e-03,1.110695320204e+07,2.476143730158e+00,3.930633162077e+00,6.239491216383e+00
4.923882631707e-03,1.141189515171e+07,2.417498789549e+00,3.837540121663e+00,6.091715226098e+00
5.058402435719e-03,1.172525165893e+07,2.360235248450e+00,3.746639916283e+00,5.947420144453e+00
5.196597302486e-03,1.204725727351e+07,2.304320544015e+00,3.657880855642e+00,5.806523918220e+00
5.338567634224e-03,1.237815321455e+07,2.249722880900e+00,3.571212467778e+00,5.668946428152e+00
5.484416576121e-03,1.271818756739e+07,2.196411213175e+00,3.486585470348e+00,5.534609443408e+00
5.634250091280e-03,1.306761548676e+07,2.144355226656e+00,3.403951742587e+00,5.403436577031e+00
5.788177037701e-03,1.342669940639e+07,2.093525321661e+00,3.323264297927e+00,5.275353242497e+00
5.946309247369e-03,1.379570925526e+07,2.043892596168e+00,3.244477257266e+00,5.150286611272e+00
6.108761607505e-03,1.417492268077e+07,1.995428829368e+00,3.167545822866e+00,5.028165571376e+00
6.275652144031e-03,1.456462527903e+07,1.948106465613e+00,3.092426252860e+00,4.908920686924e+00
6.447102107324e-03,1.496511083260e+07,1.901898598733e+00,3.019075836366e+00,4.792484158619e+00
6.623236060302e-03,1.537668155584e+07,1.856778956731e+00,2.947452869188e+00,4.678789785176e+00
6.804181968927e-03,1.579964834824e+07,1.812721886835e+00,2.877516630087e+00,4.567772925657e+00
6.990071295173e-03,1.623433105600e+07,1.769702340898e+00,2.809227357612e+00,4.459370462691e+00
7.181039092537e-03,1.668105874210e+07,1.727695861153e+00,2.742546227475e+00,4.353520766566e+00
7.377224104160e-03,1.714016996524e+07,1.686678566293e+00,2.677435330466e+00,4.250163660158e+00
7.578768863626e-03,1.761201306800e+07,1.646627137885e+00,2.613857650878e+00,4.149240384699e+00
7.785819798517e-03,1.809694647448e+07,1.607518807103e+00,2.551777045453e+00,4.050693566341e+00
7.998527336797e-03,1.859533899780e+07,1.569331341770e+00,2.491158222813e+00,3.954467183512e+00
8.217046016101e-03,1.910757015788e+07,1.532043033716e+00,2.431966723381e+00,3.860506535047e+00
8.441534596013e-03,1.963403050986e+07,1.495632686418e+00,2.374168899779e+00,3.768758209059e+00
8.672156173405e-03,2.017512198357e+07,1.460079602948e+00,2.317731897677e+00,3.679170052552e+00
8.909078300934e-03,2.073125823442e+07,1.425363574190e+00,2.262623637106e+00,3.591691141750e+00
9.152473108774e-03,2.130286500622e+07,1.391464867347e+00,2.208812794204e+00,3.506271753120e+00
9.402517429670e-03,2.189038050643e+07,1.358364214713e+00,2.156268783392e+00,3.422863335082e+00
9.659392927415e-03,2.249425579418e+07,1.326042802708e+00,2.104961739974e+00,3.341418480387e+00
9.923286228833e-03,2.311495518168e+07,1.294482261175e+00,2.054862503144e+00,3.261890899140e+00
1.019438905936e-02,2.375295664955e+07,1.263664652929e+00,2.005942599395e+00,3.184235392468e+00
1.047289838236e-02,2.440875227656e+07,1.233572463551e+00,1.958174226320e+00,3.108407826798e+00
1.075901654220e-02,2.508284868437e+07,1.204188591422e+00,1.911530236791e+00,3.034365108752e+00
1.105295141126e-02,2.577576749796e+07,1.175496337993e+00,1.865984123515e+00,2.962065160624e+00
1.135491654098e-02,2.648804582228e+07,1.147479398286e+00,1.821510003950e+00,2.891466896442e+00
1.166513131698e-02,2.722023673579e+07,1.120121851614e+00,1.778082605584e+00,2.822530198591e+00
1.198382111849e-02,2.797290980174e+07,1.093408152525e+00,1.735677251550e+00,2.755215894987e+00
1.231121748204e-02,2.874665159765e+07,1.067323121959e+00,1.694269846588e+00,2.689485736791e+00
1.264755826973e-02,2.954206626404e+07,1.041851938605e+00,1.653836863337e+00,2.625302376645e+00
1.299308784200e-02,3.035977607300e+07,1.016980130476e+00,1.614355328949e+00,2.562629347424e+00
1.334805723521e-02,3.120042201757e+07,9.926935666706e-01,1.575802812015e+00,2.501431041487e+00
1.371272434398e-02,3.206466442272e+07,9.689784493328e-01,1.538157409805e+00,2.441672690418e+00
1.408735410858e-02,3.295318357900e+07,9.458213058041e-01,1.501397735807e+00,2.383320345243e+00
1.447221870741e-02,3.386668039960e+07,9.232089809563e-01,1.465502907557e+00,2.326340857118e+00
1.486759775475e-02,3.480587710215e+07,9.011286297071e-01,1.430452534756e+00,2.270701858462e+00
1.527377850391e-02,3.577151791603e+07,8.795677097116e-01,1.396226707673e+00,2.216371744547e+00
1.569105605590e-02,3.676436981658e+07,8.585139742265e-01,1.362805985816e+00,2.163319655514e+00
1.611973357388e-02,3.778522328718e+07,8.379554651418e-01,1.330171386869e+00,2.111515458813e+00
1.656012250337e-02,3.883489311071e+07,8.178805061773e-01,1.298304375890e+00,2.060929732063e+00
