t_over_theta,r
3.804990249512e+00,9.161519026629e-01
3.805390269513e+00,9.161789228205e-01
3.805790289514e+00,9.162059345773e-01
3.806190309515e+00,9.162329378912e-01
3.806590329516e+00,9.162599327208e-01
3.806990349517e+00,9.162869190252e-01
3.807390369518e+00,9.163138967640e-01
3.807790389519e+00,9.163408658974e-01
3.808190409520e+00,9.163678263862e-01
3.808590429521e+00,9.163947781916e-01
3.808990449522e+00,9.164217212756e-01
3.809390469523e+00,9.164486556006e-01
3.809790489524e+00,9.164755811298e-01
3.810190509525e+00,9.165024978268e-01
3.810590529526e+00,9.165294056559e-01
3.810990549527e+00,9.165563045822e-01
3.811390569528e+00,9.165831945712e-01
3.811790589529e+00,9.166100755891e-01
3.812190609530e+00,9.166369476029e-01
3.812590629531e+00,9.166638105801e-01
3.812990649532e+00,9.166906644891e-01
3.813390669533e+00,9.167175092986e-01
3.813790689534e+00,9.167443449784e-01
3.814190709535e+00,9.167711714988e-01
3.814590729536e+00,9.167979888308e-01
3.814990749537e+00,9.168247969462e-01
3.815390769538e+00,9.168515958174e-01
3.815790789539e+00,9.168783854177e-01
3.816190809540e+00,9.169051657211e-01
3.816590829541e+00,9.169319367021e-01
3.816990849542e+00,9.169586983363e-01
3.817390869543e+00,9.169854505998e-01
3.817790889544e+00,9.170121934695e-01
3.818190909545e+00,9.170389269232e-01
3.818590929546e+00,9.170656509392e-01
3.818990949547e+00,9.170923654969e-01
3.819390969548e+00,9.171190705760e-01
3.819790989549e+00,9.171457661575e-01
3.820191009550e+00,9.171724522227e-01
3.820591029551e+00,9.171991287542e-01
3.820991049552e+00,9.172257957351e-01
3.821391069553e+00,9.172524531496e-01
3.821791089554e+00,9.172791009823e-01
3.822191109555e+00,9.173057392189e-01
3.822591129556e+00,9.173323678457e-01
3.822991149557e+00,9.173589868501e-01
3.823391169558e+00,9.173855962200e-01
3.823791189559e+00,9.174121959443e-01
3.824191209560e+00,9.174387860127e-01
3.824591229561e+00,9.174653664157e-01
3.824991249562e+00,9.174919371446e-01
3.825391269563e+00,9.175184981917e-01
3.825791289564e+00,9.175450495498e-01
3.826191309565e+00,9.175715912129e-01
3.826591329566e+00,9.175981231755e-01
3.826991349567e+00,9.176246454332e-01
3.827391369568e+00,9.176511579823e-01
3.827791389569e+00,9.176776608199e-01
3.828191409570e+00,9.177041539441e-01
3.828591429571e+00,9.177306373537e-01
3.828991449572e+00,9.177571110483e-01
3.829391469573e+00,9.177835750284e-01
3.829791489574e+00,9.178100292954e-01
3.830191509575e+00,9.178364738515e-01
3.830591529576e+00,9.178629086996e-01
3.830991549577e+00,9.178893338435e-01
3.831391569578e+00,9.179157492880e-01
3.831791589579e+00,9.179421550385e-01
3.832191609580e+00,9.179685511013e-01
3.832591629581e+00,9.179949374834e-01
3.832991649582e+00,9.180213141929e-01
3.833391669583e+00,9.180476812384e-01
3.833791689584e+00,9.180740386295e-01
3.834191709585e+00,9.181003863766e-01
3.834591729586e+00,9.181267244908e-01
3.834991749587e+00,9.181530529841e-01
3.835391769588e+00,9.181793718694e-01
3.835791789589e+00,9.182056811602e-01
3.836191809590e+00,9.182319808708e-01
3.836591829591e+00,9.182582710164e-01
3.836991849592e+00,9.182845516129e-01
3.837391869593e+00,9.183108226771e-01
3.837791889594e+00,9.183370842264e-01
3.838191909595e+00,9.183633362791e-01
3.838591929596e+00,9.183895788541e-01
3.838991949597e+00,9.184158119712e-01
3.839391969598e+00,9.184420356510e-01
3.839791989599e+00,9.184682499146e-01
3.840192009600e+00,9.184944547840e-01
3.840592029601e+00,9.185206502820e-01
3.840992049602e+00,9.185468364320e-01
3.841392069603e+00,9.185730132581e-01
3.841792089604e+00,9.185991807853e-01
3.842192109605e+00,9.186253390390e-01
3.842592129606e+00,9.186514880456e-01
3.842992149607e+00,9.186776278320e-01
3.843392169608e+00,9.187037584258e-01
3.843792189609e+00,9.187298798554e-01
3.844192209610e+00,9.187559921497e-01
3.844592229611e+00,9.187820953384e-01
3.844992249612e+00,9.188081894517e-01
3.845392269613e+00,9.188342745205e-01
3.845792289614e+00,9.188603505765e-01
3.846192309615e+00,9.188864176517e-01
3.846592329616e+00,9.189124757789e-01
3.846992349617e+00,9.189385249915e-01
3.847392369618e+00,9.189645653235e-01
3.847792389619e+00,9.189905968093e-01
3.848192409620e+00,9.190166194842e-01
3.848592429621e+00,9.190426333839e-01
3.848992449622e+00,9.190686385445e-01
3.849392469623e+00,9.190946350030e-01
3.849792489624e+00,9.191206227965e-01
3.850192509625e+00,9.191466019630e-01
3.850592529626e+00,9.191725725409e-01
3.850992549627e+00,9.191985345691e-01
3.851392569628e+00,9.192244880868e-01
3.851792589629e+00,9.192504331341e-01
3.852192609630e+00,9.192763697511e-01
3.852592629631e+00,9.193022979788e-01
3.852992649632e+00,9.193282178583e-01
3.853392669633e+00,9.193541294313e-01
3.853792689634e+00,9.193800327400e-01
3.854192709635e+00,9.194059278267e-01
3.854592729636e+00,9.194318147345e-01
3.854992749637e+00,9.194576935067e-01
3.855392769638e+00,9.194835641868e-01
3.855792789639e+00,9.195094268190e-01
3.856192809640e+00,9.195352814476e-01
3.856592829641e+00,9.195611281175e-01
3.856992849642e+00,9.195869668737e-01
3.857392869643e+00,9.196127977615e-01
3.857792889644e+00,9.196386208268e-01
3.858192909645e+00,9.196644361156e-01
3.858592929646e+00,9.196902436741e-01
3.858992949647e+00,9.197160435489e-01
