R_m,alpha,tension_Pa,compression_Pa
2.029077620350e+00,1.340518238791e-05,1.276222858426e+06,3.551171685123e+07
2.139974961130e+00,1.340518238791e-05,1.064416285902e+06,3.343897714628e+07
2.256933292416e+00,1.340518238791e-05,8.734270419727e+05,3.148719981892e+07
2.380283871978e+00,1.340518238791e-05,7.015333502585e+05,2.964932573710e+07
2.510376062171e+00,1.340518238791e-05,5.471434008662e+05,2.791870772931e+07
2.647578319423e+00,1.340518238791e-05,4.087861153914e+05,2.628908654321e+07
2.792279237804e+00,1.340518238791e-05,2.851025384393e+05,2.475456820744e+07
2.944888649628e+00,1.340518238791e-05,1.748378147981e+05,2.330960271443e+07
3.105838786213e+00,1.340518238791e-05,7.683371397567e+04,2.194896394732e+07
3.275585502074e+00,1.340518238791e-05,0.000000000000e+00,2.066773077826e+07
3.454609566030e+00,1.340518238791e-05,0.000000000000e+00,1.946126926983e+07
3.643418022870e+00,1.340518238791e-05,0.000000000000e+00,1.832521591514e+07
3.842545629440e+00,1.340518238791e-05,0.000000000000e+00,1.725546185596e+07
4.052556369225e+00,1.340518238791e-05,0.000000000000e+00,1.624813802197e+07
4.274045049697e+00,1.340518238791e-05,0.000000000000e+00,1.529960113713e+07
4.507638986977e+00,1.340518238791e-05,0.000000000000e+00,1.440642054277e+07
4.753999782561e+00,1.340518238791e-05,0.000000000000e+00,1.356536578966e+07
5.013825197157e+00,1.340518238791e-05,0.000000000000e+00,1.277339495415e+07
5.287851126931e+00,1.340518238791e-05,0.000000000000e+00,1.202764363620e+07
5.576853687767e+00,1.340518238791e-05,0.000000000000e+00,1.132541459940e+07
5.881651413438e+00,1.340518238791e-05,0.000000000000e+00,1.066416801571e+07
6.203107573913e+00,1.340518238791e-05,0.000000000000e+00,1.004151227931e+07
6.542132620377e+00,1.340518238791e-05,0.000000000000e+00,9.455195356721e+06
6.899686763872e+00,1.340518238791e-05,0.000000000000e+00,8.903096641597e+06
7.276782694877e+00,1.340518238791e-05,0.000000000000e+00,8.383219284896e+06
7.674488451523e+00,1.340518238791e-05,0.000000000000e+00,7.893682972641e+06
8.093930444567e+00,1.340518238791e-05,0.000000000000e+00,7.432717125156e+06
8.536296647692e+00,1.340518238791e-05,0.000000000000e+00,6.998654493172e+06
9.002839962173e+00,1.340518238791e-05,0.000000000000e+00,6.589925127651e+06
9.494881765433e+00,1.340518238791e-05,0.000000000000e+00,6.205050701511e+06
1.001381565354e+01,1.340518238791e-05,0.000000000000e+00,5.842639162723e+06
1.056111138827e+01,1.340518238791e-05,0.000000000000e+00,5.501379699430e+06
1.113831905982e+01,1.340518238791e-05,0.000000000000e+00,5.180037998884e+06
1.174707347714e+01,1.340518238791e-05,0.000000000000e+00,4.877451783054e+06
1.238909879816e+01,1.340518238791e-05,0.000000000000e+00,4.592526604755e+06
1.306621341299e+01,1.340518238791e-05,0.000000000000e+00,4.324231889097e+06
1.378033509421e+01,1.340518238791e-05,0.000000000000e+00,4.071597205929e+06
1.453348642843e+01,1.340518238791e-05,0.000000000000e+00,3.833708759806e+06
1.532780054486e+01,1.340518238791e-05,0.000000000000e+00,3.609706084774e+06
1.616552715688e+01,1.340518238791e-05,0.000000000000e+00,3.398778932027e+06
1.704903893387e+01,1.340518238791e-05,0.000000000000e+00,3.200164339175e+06
1.798083822122e+01,1.340518238791e-05,0.000000000000e+00,3.013143870517e+06
1.896356412767e+01,1.340518238791e-05,0.000000000000e+00,2.837041018356e+06
2.000000000000e+01,1.340518238791e-05,0.000000000000e+00,2.671218755936e+06
7.000000000000e-01,1.552062089131e-05,1.422497223636e+07,1.182237475772e+08
7.382578457164e-01,1.552062089131e-05,1.291734583624e+07,1.113240071330e+08
7.786066382311e-01,1.552062089131e-05,1.171435429243e+07,1.048269244410e+08
8.211606562871e-01,1.552062089131e-05,1.060826614835e+07,9.870900107962e+07
8.660404244251e-01,1.552062089131e-05,9.591890550045e+06,9.294810995686e+07
9.133730543420e-01,1.552062089131e-05,8.658541054018e+06,8.752341528171e+07
9.632926049056e-01,1.552062089131e-05,7.802001768627e+06,8.241529720604e+07
1.015940461846e+00,1.552062089131e-05,7.016495683741e+06,7.760528086427e+07
1.071465738198e+00,1.552062089131e-05,6.296655052062e+06,7.307596955405e+07
1.130025696630e+00,1.552062089131e-05,5.637493693780e+06,6.881098181653e+07
1.191786194854e+00,1.552062089131e-05,5.034381103980e+06,6.479489218847e+07
1.256922155382e+00,1.552062089131e-05,4.483018249550e+06,6.101317541192e+07
1.325618060951e+00,1.552062089131e-05,3.979414949197e+06,5.745215389982e+07
1.398068477029e+00,1.552062089131e-05,3.519868736671e+06,5.409894826733e+07
1.474478602879e+00,1.552062089131e-05,3.100945113370e+06,5.094143075015e+07
1.555064852738e+00,1.552062089131e-05,2.719459102268e+06,4.796818134122e+07
1.640055468759e+00,1.552062089131e-05,2.372458020454e+06,4.516844648721e+07
1.729691167460e+00,1.552062089131e-05,2.057205392699e+06,4.253210019546e+07
1.824225821491e+00,1.552062089131e-05,1.771165933204e+06,4.004960741061e+07
1.923927178677e+00,1.552062089131e-05,1.511991527180e+06,3.771198952853e+07
2.029077620350e+00,1.552062089131e-05,1.277508148152e+06,3.551079192280e+07
2.139974961130e+00,1.552062089131e-05,1.065703650826e+06,3.343805336629e+07
2.256933292416e+00,1.552062089131e-05,8.747163831029e+05,3.148627723724e+07
2.380283871978e+00,1.552062089131e-05,7.028245643343e+05,2.964840440572e+07
2.510376062171e+00,1.552062089131e-05,5.484363802013e+05,2.791778770240e+07
2.647578319423e+00,1.552062089131e-05,4.100807477133e+05,2.628816787724e+07
2.792279237804e+00,1.552062089131e-05,2.863987067222e+05,2.475365096124e+07
2.944888649628e+00,1.552062089131e-05,1.761353970912e+05,2.330868694929e+07
3.105838786213e+00,1.552062089131e-05,7.813258322609e+04,2.194804972709e+07
3.275585502074e+00,1.552062089131e-05,3.362689718313e+02,2.066681816944e+07
3.454609566030e+00,1.552062089131e-05,0.000000000000e+00,1.946035834168e+07
3.643418022870e+00,1.552062089131e-05,0.000000000000e+00,1.832430673976e+07
3.842545629440e+00,1.552062089131e-05,0.000000000000e+00,1.725455450841e+07
4.052556369225e+00,1.552062089131e-05,0.000000000000e+00,1.624723258037e+07
4.274045049697e+00,1.552062089131e-05,0.000000000000e+00,1.529869768278e+07
4.507638986977e+00,1.552062089131e-05,0.000000000000e+00,1.440551916025e+07
